No,Category,Attribute,Current Value,File,Line,What to modify
49,Maps,Venue name/address block 3,"Tại Tư Gia + address",src/index.html,417,Displayed venue name and address
50,RSVP,Thank-you modal title,Thank you!,src/index.html,439,Modal heading after submit
51,RSVP,Thank-you modal message,Sự hiện diện của quý vị...,src/index.html,440,Modal body message
52,RSVP,Wishes section title,Gửi lời chúc hôn,src/index.html,451,Section heading text
53,RSVP,Wishes section subtitle,Send us your best wishes,src/index.html,452,Section subtitle text
54,RSVP,Form endpoint (HTML action),"" (empty),src/index.html,454,If using normal form submit endpoint
55,RSVP,Name placeholder,Người gửi (Sender),src/index.html,457,Input placeholder text
56,RSVP,Message placeholder,Lời chúc (Wishes),src/index.html,460,Textarea placeholder text
57,RSVP,Submit button text,Gửi,src/index.html,467,Button label text
58,Gift,Bank modal heading,Vui lòng quét mã bằng ứng dụng ngân hàng,src/index.html,481,Gift instruction text
59,Gift,QR image,img/QRbank.png,src/index.html,482,Replace with your bank QR image
60,Gift,Copy button label,Copy STK,src/index.html,486,Button text
61,Gift,Gift section title,Gửi quà cưới,src/index.html,497,Section heading text
62,Footer,Footer quote,"Sự gì Thiên Chúa đã kết hợp...",src/index.html,515,Quote/scripture text
63,Footer,Contact email/mailto,josebeo2016@gmail.com,src/index.html,518,Owner/support email
64,Footer,Contact label,Liên hệ làm wedding website: josebeo2016,src/index.html,518,Footer contact text
65,Branding,Blur modal image,img/login.png,src/index.html,537,Overlay intro image
66,Music,Playlist files,"everytimewetouch, perfect, athoudsandyear, marryyou, lovestory",src/index.html,549,Replace playlist tracks
67,Analytics,Google Analytics ID,UA-46465113-4,src/index.html,621,Replace or remove analytics tracking
68,Logic,Countdown target datetime,2026-01-17T04:29:59,src/js/scripts.js,204,Countdown target date/time
69,Calendar,Calendar event title,Nhật Trường & Như Thủy Wedding,src/js/scripts.js,241,Calendar event title
70,Calendar,Calendar start datetime,"Jan 17, 2026 04:30",src/js/scripts.js,244,Calendar start datetime
71,Calendar,Calendar end datetime,"Jan 18, 2026 14:30",src/js/scripts.js,251,Calendar end datetime
72,Calendar,Calendar address,Thành Phố Hồ Chí Minh,src/js/scripts.js,254,Calendar location/address
73,Calendar,Calendar description,Nhật Trường & Như Thủy Wedding,src/js/scripts.js,257,Calendar description
74,RSVP,Google Apps Script endpoint,https://script.google.com/macros/s/AKfycby9dGqmVpUSeoIfy_tONkJlLDMsg5ZvplJzwwr3fqtxN8FdA4bry1yFZjhfBbCHgkSFag/exec,src/js/scripts.js,280,Replace with your own form backend URL
75,Gift,Bank account number for copy,8874004137,src/js/scripts.js,197,Replace recipient account number
76,Build,Production JS mirror of fields,scripts.min.js contains same values,src/js/scripts.min.js,1,If you edit scripts.js manually also update scripts.min.js or rebuild minified file
77,PWA,App name,"" (empty),src/manifest.json,2,Set installable app name
78,PWA,Icon files,android-chrome-192x192.png and 256x256.png,src/manifest.json,5,Replace app icons if branding changes
79,PWA,PWA theme color,#ffffff,src/manifest.json,15,Set theme color
80,PWA,PWA background color,#ffffff,src/manifest.json,16,Set launch background color
81,Browser Tile,Windows tile logo,/apple-touch-icon.png,src/browserconfig.xml,5,Replace tile icon path
82,Browser Tile,Windows tile color,#da532c,src/browserconfig.xml,6,Set brand color for tile
